Source:,"EM-DAT, CRED / UCLouvain, Brussels, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,www.emdat.be,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version:,2023-08-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File creation:,"Thu, 03 Aug 2023 19:58:12 CEST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table type:,Custom request,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of records:,259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
1980-0106-VNM,1980,0106,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Quang Nam Da Nang, Nghia Binh, Binh Tri Thien, Phu Khanh provinces",,,,,,,,,Km2,,,,,1980,11,,1980,11,,94,,628000,,628000,,,,,,,28.15888663,,,,
1982-0112-VNM,1982,0112,,Natural,Meteorological,Storm,Tropical cyclone,,Nancy (N°7),Viet Nam,VNM,South-Eastern Asia,Asia,"Nghe Tinh, Thanh Hoa Provinces",,,,,,,,,Kph,,,,,1982,10,18,1982,10,18,70,290,1300000,,1300290,,,,,,,32.97399781,,,,
1983-0077-VNM,1983,0077,,Natural,Meteorological,Storm,Convective storm,Severe storm,,Viet Nam,VNM,South-Eastern Asia,Asia,Central,,,,,,,,,Kph,,,,,1983,5,,1983,5,,76,,,,,,,,,,,34.03326363,,,,
1983-0125-VNM,1983,0125,,Natural,Meteorological,Storm,Tropical cyclone,,"Herbert (N°7), Kim (N°9), Lex (N°10)",Viet Nam,VNM,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1983,9,,1983,9,,578,324,580000,265000,845324,,,,,,,34.03326363,,,,
1983-0452-VNM,1983,0452,,Natural,Meteorological,Storm,Tropical cyclone,,Georgia (N°6),Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Nam Ninh, Ha Son Binh, Thai Binh, Nai Hung, Thanh Hoa, Ha Bac, Hanoi, Vinh Phu, Nghe Tinh provinces",,,,,,,,,Kph,,,,,1983,10,5,1983,10,5,80,184,,336360,336544,,,,,,,34.03326363,,,,
1984-0035-VNM,1984,0035,,Natural,Meteorological,Storm,Tropical cyclone,,,Viet Nam,VNM,South-Eastern Asia,Asia,100 km East from Hanoi,,,,,,,,,Kph,,,,,1984,4,15,1984,4,15,21,94,,1000,1094,,,,,,,35.49688113,,,,
1984-0103-VNM,1984,0103,,Natural,Meteorological,Storm,Tropical cyclone,,Agnes (n°9),Viet Nam,VNM,South-Eastern Asia,Asia,", Nghe Tinh, Nghia Binh, Thanh Hoa, Ha Son Binh, Ha Nam Ninh, Hanoi, Quang Nam, Da Nag Province",,,,,,,,,Kph,,,,,1984,11,,1984,11,,134,289,650416,,650705,,,,,,,35.49688113,,,,
1984-0090-VNM,1984,0090,,Natural,Hydrological,Flood,,,,Viet Nam,VNM,South-Eastern Asia,Asia,Central,,,,,,,,,Km2,,,,,1984,10,,1984,10,,33,,38000,,38000,,,,,,,35.49688113,,,,
1985-0106-VNM,1985,0106,,Natural,Hydrological,Flood,Riverine flood,,,Viet Nam,VNM,South-Eastern Asia,Asia,"Ha Nam Ninh, Thanh Hoa, Hai Hung, Ha Bac",,,,,,,,24680,Km2,,,,,1985,9,7,1985,9,7,93,,2800000,,2800000,,,,,,,36.75546794,,,,
1985-0114-VNM,1985,0114,,Natural,Meteorological,Storm,Tropical cyclone,,Cecil,Viet Nam,VNM,South-Eastern Asia,Asia,"Binh Tri Thien, Nghe Tinh provinces",,,,,,,,,Kph,,,,,1985,10,23,1985,10,23,798,257,225000,225000,450257,,,,,,,36.75546794,,,,
